Title,Summary,Publication Date,Source,URL
Moment North Carolina beach house collapses into ocean,,,BBC,https://www.bbc.com/news/videos/cdx9n4ekp0do
Critics unimpressed by Wuthering Heights film casting,,,BBC,https://www.bbc.com/news/articles/cm29e7pm9l9o
Most read,,,BBC,https://www.bbc.com/news/articles/cm29e7pm9l9o
"Bowen: Israel is gambling Hezbollah will crumple but it faces a well-armed, angry enemy",,,BBC,https://www.bbc.com/news/articles/c93pg1qpxxzo
China test-fires ICBM for first time in decades,,,BBC,https://www.bbc.com/news/articles/c4gl843l90zo
Trump warned by US intelligence of Iran assassination threats - campaign,,,BBC,https://www.bbc.com/news/articles/cd0z2394ey2o
Death of Indian employee sparks debate on 'toxic work culture',,,BBC,https://www.bbc.com/news/articles/c0kjgp4jr5yo
'The violence is getting out of hand': Crime grips Cuba's streets,,,BBC,https://www.bbc.com/news/articles/cyvy3j872q9o
What is the controversy around Netflix's Menendez drama?,,,BBC,https://www.bbc.com/news/articles/c20mzd788n3o
Thai king signs same-sex marriage bill into law,,,BBC,https://www.bbc.com/news/articles/cn03we6zpk1o
"One in three children short-sighted, study suggests",,,BBC,https://www.bbc.com/news/articles/c0m099zm4wyo
Boeing strikers not interested in 30% pay rise - union,,,BBC,https://www.bbc.com/news/articles/cwyl7w036y4o
US election polls: Who is ahead - Harris or Trump?,,,BBC,https://www.bbc.com/news/articles/cj4x71znwxdo
Sport,,,BBC,https://www.bbc.com/news/articles/cj4x71znwxdo
"Varane retires, Rodri injury latest, EFL Cup debate",,,BBC,https://www.bbc.com/sport/football/live/c62rg8jd6qrt
Man City confirm Rodri has injured knee ligament,,,BBC,https://www.bbc.com/sport/football/articles/clyv157qv72o
Nkunku hits hat-trick as Chelsea thrash Barrow,,,BBC,https://www.bbc.com/sport/football/live/c62d7j5j42rt
Brook responds to his critics with bat and words,,,BBC,https://www.bbc.com/sport/cricket/articles/crr5zee8759o
Guardiola will not 'waste energy' on EFL Cup despite win,,,BBC,https://www.bbc.com/sport/football/live/czegp16denyt
Man City confirm Rodri has injured knee ligament,,,BBC,https://www.bbc.com/sport/football/articles/clyv157qv72o
Ex-Real Madrid & Man Utd defender Varane retires aged 31,,,BBC,https://www.bbc.com/sport/football/articles/ced0yjn3wj0o
"A plane crash, fireworks disaster & car tragedy - how Twente shaped Ten Hag",,,BBC,https://www.bbc.com/sport/football/articles/c3rlnwg4q1lo
Nkunku hits hat-trick as Chelsea thrash Barrow,,,BBC,https://www.bbc.com/sport/football/live/c62d7j5j42rt
Follow BBC on:,,,BBC,https://shop.bbc.com/
